Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SignIn,Chrome 124.0.6367.91,,,01-08-2025 20:54:18,01-08-2025 20:58:14,3m - 55.125s,FAILED
,,,,,,,
Test Cases/SignIn,Chrome 124.0.6367.91,,,01-08-2025 20:54:19,01-08-2025 20:55:34,1m - 14.674s,PASSED
"DATA BINDING - {""firstName"":""John"",""lastName"":""Doe"",""password"":""welcome01"",""role"":""admin"",""email"":""admin@practicesoftwaretesting.com""}",,,,,,,
"openBrowser("""")",Chrome 124.0.6367.91,,,01-08-2025 20:54:19,01-08-2025 20:54:22,2.671s,PASSED
"navigateToUrl(""http://localhost:4200/#/"")",Chrome 124.0.6367.91,,,01-08-2025 20:54:22,01-08-2025 20:54:23,0.652s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/a_Sign in""))",Chrome 124.0.6367.91,,,01-08-2025 20:54:23,01-08-2025 20:54:24,1.639s,PASSED
"click(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/a_Sign in""))",Chrome 124.0.6367.91,,,01-08-2025 20:54:24,01-08-2025 20:54:25,0.323s,PASSED
"setText(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/input_Login_email""), email)",Chrome 124.0.6367.91,,,01-08-2025 20:54:25,01-08-2025 20:54:25,0.842s,PASSED
"setText(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/input_Login_password""), password)",Chrome 124.0.6367.91,,,01-08-2025 20:54:25,01-08-2025 20:54:26,0.610s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/input_Login_btnSubmit""))",Chrome 124.0.6367.91,,,01-08-2025 20:54:26,01-08-2025 20:54:26,0.326s,PASSED
"click(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/input_Login_btnSubmit""))",Chrome 124.0.6367.91,,,01-08-2025 20:54:26,01-08-2025 20:54:27,0.296s,PASSED
"verifyElementNotPresent(findTestObject(""SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/div_Invalid email or password_1""), 0)",Chrome 124.0.6367.91,,,01-08-2025 20:54:27,01-08-2025 20:54:28,1.124s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/h1_My account""))",Chrome 124.0.6367.91,,,01-08-2025 20:54:28,01-08-2025 20:54:28,0.270s,PASSED
"verifyElementText(findTestObject(""Object Repository/SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/a_User Data not found""), firstName + "" "" + lastName)",Chrome 124.0.6367.91,,,01-08-2025 20:54:28,01-08-2025 20:54:59,31.294s,PASSED
"click(findTestObject(""SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/a_User Data not found""))",Chrome 124.0.6367.91,,,01-08-2025 20:54:59,01-08-2025 20:55:31,31.341s,PASSED
"click(findTestObject(""SUT_SignIn/Page_Practice Software Testing - Toolshop -_8413b3/a_Sign out""))",Chrome 124.0.6367.91,,,01-08-2025 20:55:31,01-08-2025 20:55:31,0.269s,PASSED
